Date,AAPL,BAC,BNDX,CORP,CSCO,DE,GD,MCD,PLTR,QLTA,SPSB,USIG,VCIT,^GSPC,^IRX
2025-07-11,211.16000366210938,46.72999954223633,49.00352096557617,95.79290008544922,67.94999694824219,512.4099731445312,302.20001220703125,299.9100036621094,142.10000610351562,47.09731674194336,29.93522834777832,50.68159866333008,81.68171691894531,6259.75,4.236999988555908
2025-07-14,208.6199951171875,47.06999969482422,49.00352096557617,95.79290008544922,67.81999969482422,507.6099853515625,304.8500061035156,301.8800048828125,149.14999389648438,47.06742477416992,29.925268173217773,50.68159866333008,81.66180419921875,6268.56005859375,4.228000164031982
2025-07-15,209.11000061035156,46.150001525878906,49.01349639892578,95.4841537475586,67.18000030517578,503.4700012207031,300.8500061035156,299.6199951171875,148.5800018310547,46.93790054321289,29.905344009399414,50.53218460083008,81.41283416748047,6243.759765625,4.23199987411499
2025-07-16,210.16000366210938,46.029998779296875,49.13323974609375,95.63353729248047,67.37000274658203,507.7300109863281,300.0,298.8999938964844,150.91000366210938,46.96778869628906,29.95515251159668,50.611873626708984,81.63192749023438,6263.7001953125,4.224999904632568
2025-07-17,210.02000427246094,47.02000045776367,49.103302001953125,95.80286407470703,68.30000305175781,499.1400146484375,300.0899963378906,300.3699951171875,153.99000549316406,47.09731674194336,29.95515251159668,50.70152282714844,81.7215576171875,6297.35986328125,4.235000133514404
2025-07-18,211.17999267578125,47.31999969482422,49.08334732055664,95.91242218017578,68.05000305175781,499.82000732421875,298.9800109863281,297.07000732421875,153.52000427246094,47.17702102661133,29.98503875732422,50.78120803833008,81.91077423095703,6296.7900390625,4.230000019073486
2025-07-21,212.47999572753906,47.47999954223633,49.24300003051758,96.2610092163086,68.33999633789062,496.239990234375,297.04998779296875,295.739990234375,151.7899932861328,47.3364372253418,30.004962921142578,50.930625915527344,82.1497802734375,6305.60009765625,4.2230000495910645
2025-07-22,214.39999389648438,47.77000045776367,49.28291320800781,96.52992248535156,68.16000366210938,505.69000244140625,297.6000061035156,299.1700134277344,149.07000732421875,47.406185150146484,30.014923095703125,51.04019546508789,82.29916381835938,6309.6201171875,4.230000019073486
2025-07-23,214.14999389648438,48.13999938964844,49.113285064697266,96.2709732055664,68.62000274658203,515.1699829101562,316.94000244140625,298.1199951171875,154.6300048828125,47.3364372253418,29.9950008392334,50.97046661376953,82.18961334228516,6358.91015625,4.239999771118164
2025-07-24,213.75999450683594,48.38999938964844,49.03345489501953,96.16141510009766,68.29000091552734,514.6599731445312,314.239990234375,294.4800109863281,154.86000061035156,47.30654525756836,29.98503875732422,50.90073776245117,82.09003448486328,6363.35009765625,4.244999885559082
2025-07-25,213.8800048828125,48.45000076293945,49.143218994140625,96.42036437988281,68.69000244140625,517.3800048828125,314.0199890136719,298.4700012207031,158.8000030517578,47.4460334777832,30.004962921142578,51.04019546508789,82.28919982910156,6388.64013671875,4.244999885559082
2025-07-28,214.0500030517578,48.22999954223633,49.203086853027344,96.30084991455078,67.91999816894531,510.54998779296875,313.1000061035156,299.2200012207031,157.8800048828125,47.34640121459961,29.9950008392334,50.960506439208984,82.15974426269531,6389.77001953125,4.235000133514404
2025-07-29,211.27000427246094,47.95000076293945,49.26295471191406,96.76895904541016,67.95999908447266,512.5,314.70001220703125,302.6700134277344,156.24000549316406,47.60544967651367,30.024885177612305,51.20953369140625,82.46846008300781,6370.85986328125,4.230000019073486
2025-07-30,209.0500030517578,47.959999084472656,49.203086853027344,96.51000213623047,68.27999877929688,507.8699951171875,312.17999267578125,303.6099853515625,158.61000061035156,47.46596145629883,29.9950008392334,51.08003616333008,82.32904052734375,6362.89990234375,4.23199987411499
2025-07-31,207.57000732421875,47.27000045776367,49.24300003051758,96.51000213623047,68.08000183105469,524.3699951171875,311.6099853515625,300.07000732421875,158.35000610351562,47.45600128173828,29.9950008392334,51.09000015258789,82.33899688720703,6339.39013671875,4.235000133514404
2025-08-01,202.3800048828125,45.65999984741211,49.41999816894531,97.29000091552734,67.11000061035156,500.9800109863281,310.739990234375,302.8900146484375,154.27000427246094,47.869998931884766,30.1299991607666,51.47999954223633,83.04000091552734,6238.009765625,4.182000160217285
2025-08-04,203.35000610351562,45.849998474121094,49.470001220703125,97.44000244140625,68.48999786376953,510.55999755859375,312.7799987792969,304.2300109863281,160.66000366210938,47.900001525878906,30.139999389648438,51.54999923706055,83.16999816894531,6329.93994140625,4.1529998779296875
2025-08-05,202.9199981689453,45.560001373291016,49.470001220703125,97.45999908447266,67.5199966430664,508.5799865722656,313.760009765625,298.7699890136719,173.27000427246094,47.91999816894531,30.1200008392334,51.56999969482422,83.12999725341797,6299.18994140625,4.150000095367432
2025-08-06,213.25,45.41999816894531,49.41999816894531,97.45999908447266,69.20999908447266,509.6400146484375,314.989990234375,307.6600036621094,179.5399932861328,47.939998626708984,30.149999618530273,51.54999923706055,83.16000366210938,6345.06005859375,4.132999897003174
2025-08-07,220.02999877929688,44.91999816894531,49.439998626708984,97.36000061035156,69.9000015258789,506.6400146484375,312.7300109863281,307.9100036621094,182.1999969482422,47.880001068115234,30.139999389648438,51.5099983215332,83.08999633789062,6340.0,4.138000011444092
2025-08-08,229.35000610351562,46.0099983215332,49.36000061035156,97.11000061035156,71.79000091552734,510.3699951171875,314.1300048828125,305.45001220703125,186.9600067138672,47.7599983215332,30.110000610351562,51.400001525878906,82.87999725341797,6389.4501953125,4.132999897003174
