No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
27,"McManis, Sherrick",CB,dback,ACT,73,192,19-Dec-87,7,Northwestern,Bears,Illinois
48,"McManis, Wynton",LB,lineb,ACT,73,225,20-Sep-94,0,Memphis,49ers,California
57,"McNary, Josh",ILB,lineb,ACT,72,251,10-Apr-88,3,Army,Colts,Indiana
92,"McPhee, Pernell",OLB,lineb,ACT,75,273,17-Dec-88,6,Mississippi State,Bears,Illinois
92,"Mebane, Brandon",NT,def,RES,73,311,15-Jan-85,10,California,Chargers,California
98,"Meder, Jamie",DE,def,ACT,75,308,12-Apr-91,2,Ashland,Browns,Ohio
36,"Meeks, Jonathan",DB,dback,ACT,72,209,8-Nov-89,3,Clemson,Bills,New York
30,"Melvin, Rashaan",CB,dback,ACT,74,193,2-Oct-89,4,Northern Illinois,Colts,Indiana
59,"Mercilus, Whitney",OLB,lineb,ACT,76,265,21-Jul-90,5,Illinois,Texans,Texas
32,"Michael, Christine",RB,run,ACT,70,221,9-Nov-90,4,Texas A&M,Packers,Wisconsin
36,"Middleton, Doug",DB,dback,ACT,72,210,25-Sep-93,0,Appalachian State,Jets,New York
45,"Miles, Rontez",FS,dback,ACT,72,203,25-Nov-88,2,California (PA),Jets,New York
40,"Millard, Trey",FB,run,RES,74,247,21-Jul-91,2,Oklahoma,Chiefs,Missouri
34,"Miller, Harlan",FS,dback,ACT,72,182,20-Jun-94,0,Southeastern Louisiana,Cardinals,Arizona
34,"Miller, Harlan",FS,dback,ACT,72,182,20-Jun-94,0,Southeastern Louisiana,Eagles,Pennsylvania
26,"Miller, Lamar",RB,run,ACT,70,220,25-Apr-91,5,Miami (Fla.),Texans,Texas
97,"Miller, Roy",DT,def,RES,74,318,9-Jul-87,8,Texas,Jaguars,Florida
58,"Miller, Von",OLB,lineb,ACT,75,250,26-Mar-89,6,Texas A&M,Broncos,Colorado
40,"Milton, Chris",DB,dback,ACT,71,190,15-Sep-92,0,Georgia Tech,Colts,Indiana
51,"Mingo, Barkevious",LB,lineb,ACT,76,240,4-Oct-90,4,LSU,Patriots,Massachusetts
51,"Minter, Kevin",MLB,lineb,ACT,72,246,3-Dec-90,4,LSU,Cardinals,Arizona
51,"Minter, Kevin",MLB,lineb,ACT,72,246,3-Dec-90,4,LSU,Eagles,Pennsylvania
55,"Misi, Koa",OLB,lineb,RES,75,256,17-Jan-87,7,Utah,Dolphins,Florida
90,"Mitchell, Earl",DT,def,ACT,75,310,25-Sep-87,7,Arizona,Dolphins,Florida
23,"Mitchell, Mike",FS,dback,ACT,73,221,10-Jun-87,8,Ohio U.,Steelers,Pennsylvania
39,"Mitchell, Terrance",DB,dback,ACT,71,190,17-May-92,3,Oregon,Chiefs,Missouri
55,"Moats, Arthur",OLB,lineb,ACT,72,246,14-Mar-88,7,James Madison,Steelers,Pennsylvania
88,"Montgomery, Ty",RB,run,ACT,72,216,22-Jan-93,2,Stanford,Packers,Wisconsin
43,"Moore, Corey",SS,dback,ACT,74,200,28-Jan-93,1,Georgia,Texans,Texas
97,"Moore, Damontre",DE,def,RES,77,250,11-Sep-92,4,Texas A&M,Seahawks,Washington
54,"Moore, Sio",OLB,lineb,ACT,73,245,2-May-90,4,Connecticut,Cardinals,Arizona
54,"Moore, Sio",OLB,lineb,ACT,73,245,2-May-90,4,Connecticut,Eagles,Pennsylvania
24,"Moore, Sterling",CB,dback,ACT,70,202,3-Feb-90,6,Southern Methodist,Saints,Lousiana
96,"Moore, Zach",DE,def,ACT,78,280,5-Sep-90,3,Concordia-St. Paul,49ers,California
91,"Morgan, Derrick",OLB,lineb,ACT,76,261,6-Jan-89,7,Georgia Tech,Titans,Tennessee 
57,"Morgan, Mike",OLB,lineb,ACT,75,235,16-Jan-88,6,USC,Seahawks,Washington
46,"Morris, Alfred",RB,run,ACT,70,224,12-Dec-88,5,Florida Atlantic,Cowboys,Texas
35,"Morris, Darryl",DB,dback,ACT,70,188,4-Sep-90,4,Texas State,Colts,Indiana
46,"Morris, James",LB,lineb,RES,73,245,20-Nov-91,3,Iowa,Cowboys,Texas
33,"Morris, Romar",RB,run,RES,70,190,21-Oct-92,0,North Carolina,Jets,New York
44,"Morrison, Antonio",ILB,lineb,ACT,73,232,6-Dec-94,0,Florida,Colts,Indiana
61,"Morse, Mitch",C,off,ACT,78,305,21-Apr-92,2,Missouri,Chiefs,Missouri
76,"Moses, Morgan",T,off,ACT,78,335,3-Mar-91,3,Virginia,Redskins,DC
57,"Mosley, C.J.",ILB,lineb,ACT,74,241,19-Jun-92,3,Alabama,Ravens,Maryland
31,"Mostert, Raheem",RB,run,ACT,70,197,9-Apr-92,2,Purdue,49ers,California
53,"Mount, Deiontrez",LB,lineb,ACT,77,249,26-Feb-93,2,Louisville,Colts,Indiana
24,"Munnerlyn, Captain",CB,dback,ACT,69,195,10-Apr-88,8,South Carolina,Vikings,Minnesota
23,"Murphy, Marcus",RB,run,ACT,69,195,3-Oct-91,2,Missouri,Saints,Lousiana
93,"Murphy, Trent",DE,def,ACT,77,290,22-Dec-90,3,Stanford,Redskins,DC
29,"Murray, DeMarco",RB,run,ACT,73,220,12-Feb-88,6,Oklahoma,Titans,Tennessee 
21,"Murray, Eric",CB,dback,ACT,71,199,7-Jan-94,0,Minnesota,Chiefs,Missouri
28,"Murray, Latavius",RB,run,ACT,75,230,18-Jan-90,4,Central Florida,Raiders,Nevada
94,"Nassib, Carl",DE,def,ACT,79,275,12-Apr-93,0,Penn State,Browns,Ohio
22,"Neal, Keanu",SS,dback,ACT,72,211,26-Jul-95,0,Florida,Falcons,Georgia
34,"Neal, Rajion",RB,run,RES,71,220,28-Mar-92,1,Tennessee,Browns,Ohio
20,"Neasman, Sharrod",DB,dback,ACT,71,213,14-Oct-91,0,Florida Atlantic,Falcons,Georgia
52,"Nelson, Corey",ILB,lineb,ACT,73,226,22-Apr-92,3,Oklahoma,Broncos,Colorado
27,"Nelson, Reggie",FS,dback,ACT,71,210,21-Sep-83,10,Florida,Raiders,Nevada
32,"Nelson, Robert",DB,dback,ACT,70,180,16-Feb-90,2,Arizona State,Texans,Texas
20,"Nelson, Steven",CB,dback,ACT,71,194,22-Jan-93,2,Oregon State,Chiefs,Missouri
23,"Newman, Terence",CB,dback,ACT,70,197,4-Sep-78,14,Kansas State,Vikings,Minnesota
72,"Newton, Derek",T,off,RES,78,315,16-Nov-87,6,Arkansas State,Texans,Texas
91,"Ngakoue, Yannick",DE,def,ACT,74,246,31-Mar-95,0,Maryland,Jaguars,Florida
92,"Ngata, Haloti",DT,def,ACT,76,345,21-Jan-84,11,Oregon,Lions,Michigan
52,"Nicolas, Dadi",LB,lineb,RES,75,235,29-Sep-92,0,Virginia Tech,Chiefs,Missouri
50,"Ninkovich, Rob",OLB,lineb,ACT,74,260,1-Feb-84,11,Purdue,Patriots,Massachusetts
45,"Nix-Jones, Roosevelt",FB,run,ACT,71,248,30-Mar-92,2,Kent State,Steelers,Pennsylvania
39,"Nixon, Taurean",DB,dback,ACT,70,187,7-Feb-91,1,Tulane,Broncos,Colorado
90,"Nkemdiche, Robert",DT,def,ACT,75,296,19-Sep-94,0,Mississippi,Cardinals,Arizona
90,"Nkemdiche, Robert",DT,def,ACT,75,296,19-Sep-94,0,Mississippi,Eagles,Pennsylvania
24,"Norman, Josh",CB,dback,ACT,72,200,15-Dec-87,5,Coastal Carolina,Redskins,DC
52,"Norris, Jared",ILB,lineb,ACT,73,240,19-Jul-93,0,Utah,Panthers,North Carolina
68,"Norwell, Andrew",G,off,ACT,78,325,25-Oct-91,3,Ohio State,Panthers,North Carolina
79,"Nsekhe, Ty",T,off,ACT,80,335,27-Oct-85,2,Texas State,Redskins,DC
99,"Nunez-Roches, Rakeem",DT,def,ACT,74,307,3-Jul-93,2,Southern Mississippi,Chiefs,Missouri
53,"Nzeocha, Mark",OLB,lineb,ACT,75,239,19-Jan-90,2,Wyoming,Cowboys,Texas
65,"Obioha, Julien",DE,def,RES,76,280,7-Jul-94,0,Texas A&M,Jets,New York
54,"Ochi, Victor",LB,lineb,ACT,73,242,2-Oct-93,0,Stony Brook,Chiefs,Missouri
58,"Odighizuwa, Owa",DE,def,ACT,75,270,1-Apr-92,2,UCLA,Giants,New York
75,"Odrick, Jared",DE,def,RES,77,298,31-Dec-87,7,Penn State,Jaguars,Florida
90,"Ogbah, Emmanuel",DE,def,ACT,75,275,6-Nov-93,0,Oklahoma State,Browns,Ohio
52,"Ogletree, Alec",MLB,lineb,ACT,74,245,25-Sep-91,4,Georgia,Rams,California
73,"Oher, Michael",T,off,RES,76,315,28-May-86,8,Mississippi,Panthers,North Carolina
57,"Okafor, Alex",OLB,lineb,ACT,76,261,8-Feb-91,4,Texas,Cardinals,Arizona
57,"Okafor, Alex",OLB,lineb,ACT,76,261,8-Feb-91,4,Texas,Eagles,Pennsylvania
23,"Okotcha, Bennett",DB,dback,RES,72,195,7-Feb-93,0,Texas-San Antonio,Titans,Tennessee 
78,"Okwara, Romeo",DE,def,ACT,77,265,17-Jun-95,0,Notre Dame,Giants,New York
30,"Olatoye, Deji",CB,dback,ACT,73,205,20-Jul-91,2,North Carolina A&T,Falcons,Georgia
49,"Olawale, Jamize",FB,run,ACT,73,240,17-Apr-89,4,North Texas,Raiders,Nevada
43,"Oliver, Branden",RB,run,RES,68,208,7-May-91,3,Buffalo,Chargers,California
48,"Onwuasor, Patrick",ILB,lineb,ACT,72,217,22-Aug-92,0,Portland State,Ravens,Maryland
93,"Onyemata, David",DT,def,ACT,75,300,13-Nov-92,0,Manitoba (Canada),Saints,Lousiana
98,"Orakpo, Brian",OLB,lineb,ACT,76,257,31-Jul-86,8,Texas,Titans,Tennessee 
44,"Orchard, Nate",OLB,lineb,RES,76,255,5-Jan-93,2,Utah,Browns,Ohio
54,"Orr, Zach",ILB,lineb,RES,72,225,9-Jun-92,3,North Texas,Ravens,Maryland
99,"Paea, Stephen",DE,def,ACT,73,300,11-May-88,6,Oregon State,Browns,Ohio
95,"Palepoi, Tenny",DE,def,SUS,73,298,19-Dec-90,3,Utah,Chargers,California
50,"Palmer, Nate",LB,lineb,ACT,74,248,23-Sep-89,4,Illinois State,Titans,Tennessee 
61,"Paradis, Matt",C,off,ACT,75,300,12-Oct-89,2,Boise State,Broncos,Colorado
38,"Parker, Ron",FS,dback,ACT,72,206,17-Aug-87,6,Newberry,Chiefs,Missouri
34,"Parks, Will",DB,dback,ACT,72,200,29-Jul-94,0,Arizona,Broncos,Colorado
54,"Parry, David",NT,def,ACT,74,310,7-Mar-92,2,Stanford,Colts,Indiana
42,"Paysinger, Spencer",LB,lineb,ACT,74,249,28-Jun-88,6,Oregon,Dolphins,Florida
30,"Peerman, Cedric",RB,run,ACT,70,212,10-Oct-86,7,Virginia,Bengals,Ohio
94,"Peko, Domata",DT,def,ACT,75,325,27-Nov-84,11,Michigan State,Bengals,Ohio
90,"Peko, Kyle",NT,def,ACT,73,305,23-Jul-93,0,Oregon State,Broncos,Colorado
72,"Penn, Donald",T,off,ACT,76,315,27-Apr-83,11,Utah State,Raiders,Nevada
56,"Peppers, Julius",OLB,lineb,ACT,79,287,18-Jan-80,15,North Carolina,Packers,Wisconsin
28,"Perkins, Paul",RB,run,ACT,70,208,16-Nov-94,0,UCLA,Giants,New York
53,"Perry, Joshua",ILB,lineb,ACT,76,253,26-Apr-94,0,Ohio State,Chargers,California
53,"Perry, Nick",OLB,lineb,ACT,75,265,12-Apr-90,5,USC,Packers,Wisconsin
52,"Perryman, Denzel",ILB,lineb,ACT,71,240,5-Dec-92,2,Miami (Fla.),Chargers,California
52,"Peters, Brian",LB,lineb,ACT,76,240,31-Oct-88,2,Northwestern (Ia),Texans,Texas
98,"Peters, Corey",NT,def,ACT,75,305,8-Jun-88,7,Kentucky,Cardinals,Arizona
98,"Peters, Corey",NT,def,ACT,75,305,8-Jun-88,7,Kentucky,Eagles,Pennsylvania
22,"Peters, Marcus",CB,dback,ACT,72,197,9-Jan-93,2,Washington,Chiefs,Missouri
28,"Peterson, Adrian",RB,run,ACT,73,220,21-Mar-85,10,Oklahoma,Vikings,Minnesota
21,"Peterson, Patrick",CB,dback,ACT,73,203,11-Jul-90,6,LSU,Cardinals,Arizona
21,"Peterson, Patrick",CB,dback,ACT,73,203,11-Jul-90,6,LSU,Eagles,Pennsylvania
77,"Pettway, D.J.",DE,def,RES,74,270,19-Sep-92,0,Alabama,Saints,Lousiana
31,"Phillips, Adrian",SS,dback,ACT,71,210,28-Mar-92,2,Texas,Chargers,California
35,"Phillips, Dashaun",DB,dback,ACT,71,190,3-Jan-91,2,Tarleton State,Redskins,DC
97,"Phillips, Jordan",DT,def,ACT,78,335,15-Oct-92,2,Oklahoma,Dolphins,Florida
93,"Philon, Darius",DE,def,ACT,73,300,22-Jan-94,2,Arkansas,Chargers,California
78,"Pierce, Michael",DE,def,ACT,72,339,6-Nov-92,0,Samford,Ravens,Maryland
72,"Pierre, Olsen",DT,def,ACT,77,293,27-Aug-91,1,Miami (Fla.),Cardinals,Arizona
72,"Pierre, Olsen",DT,def,ACT,77,293,27-Aug-91,1,Miami (Fla.),Eagles,Pennsylvania
58,"Pierre-Louis, Kevin",OLB,lineb,ACT,72,230,7-Oct-91,3,Boston College,Seahawks,Washington
90,"Pierre-Paul, Jason",DE,def,ACT,77,278,1-Jan-89,7,South Florida,Giants,New York
47,"Pinkins, Eric",DB,dback,ACT,75,230,7-Aug-91,3,San Diego State,Giants,New York
40,"Pitts, Lafayette",DB,dback,ACT,70,196,24-Sep-92,0,Pittsburgh,Dolphins,Florida
35,"Pleasant, Eddie",DB,dback,ACT,70,200,17-Dec-88,4,Oregon,Texans,Texas
92,"Poe, Dontari",NT,def,ACT,75,346,18-Aug-90,5,Memphis,Chiefs,Missouri
34,"Poole, Brian",CB,dback,ACT,69,213,20-Oct-92,0,Florida,Falcons,Georgia
43,"Pope, Troymaine",RB,run,RES,69,205,29-Nov-93,0,Jacksonville State,Seahawks,Washington
53,"Porter, Sean",OLB,lineb,RES,73,242,12-Jan-91,4,Texas A&M,Jaguars,Florida
21,"Porter, Tracy",CB,dback,ACT,71,200,11-Aug-86,9,Indiana,Bears,Illinois
51,"Posluszny, Paul",MLB,lineb,ACT,74,232,10-Oct-84,10,Penn State,Jaguars,Florida
53,"Pouncey, Maurkice",C,off,ACT,76,304,24-Jul-89,7,Florida,Steelers,Pennsylvania
51,"Pouncey, Mike",C,off,RES,77,299,24-Jul-89,6,Florida,Dolphins,Florida
29,"Powell, Bilal",RB,run,ACT,70,204,27-Oct-88,6,Louisville,Jets,New York
59,"Powell, Ronald",LB,lineb,ACT,75,237,14-May-91,2,Florida,Seahawks,Washington
26,"Powers, Jerraud",DB,dback,ACT,70,193,19-Jul-87,8,Auburn,Ravens,Maryland
33,"Poyer, Jordan",FS,dback,RES,72,191,25-Apr-91,4,Oregon State,Browns,Ohio
63,"Price, Givens",DT,def,ACT,76,310,3-Oct-94,0,Nebraska,Cardinals,Arizona
63,"Price, Givens",DT,def,ACT,76,310,3-Oct-94,0,Nebraska,Eagles,Pennsylvania
25,"Price, Jabari",CB,dback,RES,71,200,31-Aug-92,3,North Carolina,Vikings,Minnesota
27,"Price, Sheldon",CB,dback,RES,74,194,26-Mar-91,1,UCLA,Ravens,Maryland
45,"Prosch, Jay",FB,run,ACT,73,255,21-Aug-92,3,Auburn,Texans,Texas
31,"Prosinski, Chris",SS,dback,ACT,73,213,28-Apr-87,6,Wyoming,Bears,Illinois
22,"Prosise, C.J.",RB,run,ACT,73,220,20-May-94,0,Notre Dame,Seahawks,Washington
43,"Pruitt, Jimmy",CB,dback,RES,72,203,28-Nov-92,0,San Jose State,Saints,Lousiana
25,"Pryor, Calvin",SS,dback,ACT,71,207,2-Jul-92,3,Louisville,Jets,New York
52,"Pullard, Hayes",OLB,lineb,ACT,72,233,18-Apr-92,2,USC,Jaguars,Florida
73,"Pulley, Spencer",C,off,ACT,76,308,4-Apr-93,0,Vanderbilt,Chargers,California
64,"Purcell, Mike",NT,def,ACT,75,303,20-Apr-91,3,Wyoming,49ers,California
27,"Quin, Glover",FS,dback,ACT,72,207,15-Jan-86,8,New Mexico,Lions,Michigan
94,"Quinn, Robert",DE,def,RES,76,264,18-May-90,6,North Carolina,Rams,California
79,"Qvale, Brent",T,off,ACT,79,315,11-Mar-91,2,Nebraska,Jets,New York
59,"Ragland, Reggie",ILB,lineb,RES,74,252,23-Sep-93,0,Alabama,Bills,New York
43,"Rainey, Bobby",RB,run,ACT,68,212,16-Oct-87,5,Western Kentucky,Giants,New York
30,"Rambo, Bacarri",FS,dback,ACT,72,211,27-Jun-90,4,Georgia,Dolphins,Florida
20,"Ramsey, Jalen",CB,dback,ACT,73,211,24-Oct-94,0,Florida State,Jaguars,Florida
23,"Randall, Damarious",CB,dback,ACT,71,196,29-Aug-92,2,Arizona State,Packers,Wisconsin
43,"Randolph, Brian",DB,dback,RES,72,198,20-Oct-92,0,Tennessee,Rams,California
98,"Rankins, Sheldon",DT,def,ACT,74,305,2-Apr-94,0,Louisville,Saints,Lousiana
34,"Rawls, Thomas",RB,run,ACT,69,215,3-Aug-93,2,Central Michigan,Seahawks,Washington
56,"Ray, Shane",OLB,lineb,ACT,75,245,18-May-93,2,Missouri,Broncos,Colorado
98,"Reader, D.J.",DE,def,ACT,75,335,1-Jul-94,0,Clemson,Texans,Texas
27,"Reaser, Keith",CB,dback,ACT,72,190,31-Jul-91,2,Florida Atlantic,49ers,California
23,"Redmond, Will",CB,dback,RES,72,186,28-Dec-93,0,Mississippi State,49ers,California
44,"Reece, Marcel",FB,run,ACT,73,250,23-Jun-85,7,Washington,Seahawks,Washington
50,"Reed, Brooks",DE,def,ACT,75,254,28-Feb-87,6,Arizona,Falcons,Georgia
64,"Reed, Chris",G,off,RES,77,310,22-Jul-92,1,Minnesota State,Jaguars,Florida
90,"Reed, Jarran",DT,def,ACT,75,311,16-Dec-92,0,Alabama,Seahawks,Washington
32,"Reed, Kalan",DB,dback,ACT,71,192,29-Dec-93,0,Southern Mississippi,Titans,Tennessee 
38,"Reed, Trovon",CB,dback,ACT,72,191,30-Dec-90,1,Auburn,Chargers,California
91,"Reid, Caraun",DT,def,RES,74,298,23-Nov-91,3,Princeton,Chargers,California
35,"Reid, Eric",FS,dback,RES,73,213,10-Dec-91,4,LSU,49ers,California
71,"Reiff, Riley",T,off,ACT,78,#N/A,1-Dec-88,5,Iowa,Lions,Michigan
57,"Reilly, Trevor",LB,lineb,ACT,77,245,17-Jan-88,3,Utah,Dolphins,Florida
62,"Reiter, Austin",C,off,RES,75,307,27-Nov-91,1,South Florida,Browns,Ohio
74,"Remmers, Mike",T,off,ACT,77,310,11-Apr-89,4,Oregon State,Panthers,North Carolina
24,"Revis, Darrelle",CB,dback,ACT,71,198,14-Jul-85,10,Pittsburgh,Jets,New York
57,"Rey, Vincent",OLB,lineb,ACT,72,250,6-Sep-87,6,Duke,Bengals,Ohio
98,"Reyes, Kendall",DT,def,ACT,76,300,26-Sep-89,5,Connecticut,Chiefs,Missouri
34,"Reynolds, Chase",RB,run,ACT,72,205,22-Oct-87,4,Montana,Rams,California
39,"Reynolds, Ed",FS,dback,ACT,73,207,18-Oct-91,2,Stanford,Browns,Ohio
53,"Reynolds, LaRoy",MLB,lineb,ACT,73,240,3-Nov-90,4,Virginia,Falcons,Georgia
46,"Rhodes, Luke",LB,lineb,ACT,74,242,2-Dec-92,0,William & Mary,Colts,Indiana
29,"Rhodes, Xavier",CB,dback,ACT,73,218,19-Jun-90,4,Florida State,Vikings,Minnesota
30,"Richard, Jalen",RB,run,ACT,68,207,15-Oct-93,0,Southern Mississippi,Raiders,Nevada
37,"Richards, Jordan",SS,dback,ACT,71,210,21-Jan-93,2,Stanford,Patriots,Massachusetts
38,"Richardson, Daryl",RB,run,ACT,71,196,12-Apr-90,3,Abilene Christian,Jaguars,Florida
91,"Richardson, Sheldon",DE,def,ACT,75,294,29-Nov-90,4,Missouri,Jets,New York
70,"Richburg, Weston",C,off,ACT,75,298,9-Jul-91,3,Colorado State,Giants,New York
25,"Riddick, Theo",RB,run,RES,69,201,4-May-91,4,Notre Dame,Lions,Michigan
91,"Ridgeway, Hassan",DT,def,ACT,75,317,2-Nov-94,0,Texas,Colts,Indiana
35,"Riley, Curtis",CB,dback,ACT,72,190,18-Jul-92,2,Fresno State,Titans,Tennessee 
54,"Riley, Perry",MLB,lineb,ACT,72,240,3-May-88,7,LSU,Raiders,Nevada
99,"Ringo, Christian",DE,def,ACT,73,298,10-Mar-92,1,Louisiana-Lafayette,Packers,Wisconsin
22,"Ripkowski, Aaron",FB,run,ACT,73,246,20-Dec-92,2,Oklahoma,Packers,Wisconsin
48,"Rivers, Gerald",LB,lineb,RES,74,250,22-Jun-90,2,Mississippi,Texans,Texas
52,"Roach, Trevor",LB,lineb,ACT,74,247,6-Mar-92,1,Nebraska,Bengals,Ohio
39,"Roberson, Marcus",DB,dback,ACT,72,191,4-Oct-92,3,Florida,Bills,New York
27,"Roberts, Darryl",CB,dback,ACT,72,182,26-Nov-90,2,Marshall,Jets,New York
52,"Roberts, Elandon",OLB,lineb,ACT,71,235,22-Apr-94,0,Houston,Patriots,Massachusetts
52,"Robertson, Craig",OLB,lineb,ACT,73,234,11-Feb-88,5,North Texas,Saints,Lousiana
21,"Robey-Coleman, Nickell",DB,dback,ACT,68,165,17-Jan-92,4,USC,Bills,New York
91,"Robinson, A'Shawn",DT,def,ACT,75,320,21-Mar-95,0,Alabama,Lions,Michigan
16,"Robinson, Denard",RB,run,ACT,72,213,22-Sep-90,4,Michigan,Jaguars,Florida
51,"Robinson, Edmond",OLB,lineb,ACT,75,245,23-Feb-92,2,Newberry,Vikings,Minnesota
73,"Robinson, Greg",T,off,ACT,77,332,21-Oct-92,3,Auburn,Rams,California
26,"Robinson, Josh",DB,dback,ACT,70,200,8-Jan-91,5,Central Florida,Buccaneers,Florida
57,"Robinson, Keenan",LB,lineb,ACT,75,238,7-Jul-89,5,Texas,Giants,New York
31,"Robinson, Khiry",RB,run,RES,72,220,28-Dec-89,4,West Texas A&M,Jets,New York
25,"Robinson, Patrick",CB,dback,RES,71,191,7-Sep-87,7,Florida State,Colts,Indiana
33,"Robinson, Rashard",CB,dback,ACT,73,177,23-Jul-95,0,LSU,49ers,California
96,"Robison, Brian",DE,def,ACT,75,259,27-Apr-83,10,Texas,Vikings,Minnesota
29,"Roby, Bradley",CB,dback,ACT,71,194,1-May-92,3,Ohio State,Broncos,Colorado
32,"Rodgers, Jacquizz",RB,run,ACT,66,205,6-Feb-90,6,Oregon State,Buccaneers,Florida
41,"Rodgers-Cromartie, Dominique",CB,dback,ACT,74,193,7-Apr-86,9,Tennessee State,Giants,New York
38,"Rolle, Jumal",DB,dback,RES,72,190,28-May-90,3,Catawba,Ravens,Maryland
24,"Rollins, Quinten",CB,dback,ACT,71,195,15-Jul-92,2,Miami (Ohio),Packers,Wisconsin
25,"Rowe, Eric",CB,dback,ACT,73,205,3-Oct-92,2,Utah,Patriots,Massachusetts
77,"Rubin, Ahtyba",DT,def,ACT,74,310,25-Jul-86,9,Iowa State,Seahawks,Washington
92,"Rucker, Frostee",DE,def,ACT,75,280,14-Sep-83,11,USC,Cardinals,Arizona
92,"Rucker, Frostee",DE,def,ACT,75,280,14-Sep-83,11,USC,Eagles,Pennsylvania
54,"Rush, Marcus",LB,lineb,ACT,74,251,19-Jun-91,1,Michigan State,Jaguars,Florida
20,"Russell, KeiVarae",CB,dback,ACT,71,192,19-Oct-93,0,Notre Dame,Bengals,Ohio
99,"Russell, Ryan",DE,def,ACT,77,275,17-Jan-92,2,Purdue,Buccaneers,Florida
47,"Ryan, Jake",ILB,lineb,ACT,#N/A,240,27-Feb-92,2,Michigan,Packers,Wisconsin
26,"Ryan, Logan",CB,dback,ACT,71,195,9-Feb-91,4,Rutgers,Patriots,Massachusetts
76,"Saffold, Rodger",G,off,ACT,77,332,6-Jun-88,7,Indiana,Rams,California
23,"Sample, James",SS,dback,RES,74,215,23-Jun-92,2,Louisville,Jaguars,Florida
31,"Sanchez, Zack",CB,dback,RES,71,185,11-Oct-93,0,Oklahoma,Panthers,North Carolina
33,"Sanford, Jamarca",SS,dback,RES,70,200,27-Aug-85,8,Mississippi,Saints,Lousiana
32,"Scandrick, Orlando",CB,dback,ACT,70,196,10-Feb-87,9,Boise State,Cowboys,Texas
57,"Scarlett, Brennan",LB,lineb,ACT,75,260,31-Jul-93,0,Stanford,Texans,Texas
53,"Schobert, Joe",OLB,lineb,ACT,73,245,6-Nov-93,0,Wisconsin,Browns,Ohio
73,"Schraeder, Ryan",T,off,ACT,79,300,4-May-88,4,Valdosta State,Falcons,Georgia
79,"Scott, Chris",G,off,ACT,76,340,4-Aug-87,5,Tennessee,Panthers,North Carolina
21,"Searcy, Da'Norris",SS,dback,ACT,71,207,16-Nov-88,6,North Carolina,Titans,Tennessee 
39,"Seisay, Mohammed",DB,dback,RES,74,206,22-May-90,3,Nebraska,Seahawks,Washington
34,"Sendejo, Andrew",SS,dback,RES,73,210,9-Sep-87,6,Rice,Vikings,Minnesota
30,"Sensabaugh, Coty",CB,dback,ACT,71,187,15-Nov-88,5,Clemson,Giants,New York
29,"Seymour, Kevon",CB,dback,ACT,72,185,30-Nov-93,0,USC,Bills,New York
20,"Shabazz, Al-Hajj",DB,dback,ACT,72,200,2-Aug-92,1,West Chester,Steelers,Pennsylvania
26,"Shaw, Josh",CB,dback,ACT,73,200,27-Mar-92,2,USC,Bengals,Ohio
50,"Shazier, Ryan",ILB,lineb,ACT,73,230,6-Sep-92,3,Ohio State,Steelers,Pennsylvania
35,"Shead, DeShawn",CB,dback,ACT,74,212,28-Jun-89,5,Portland State,Seahawks,Washington
93,"Sheard, Jabaal",DE,def,ACT,75,265,10-May-89,6,Pittsburgh,Patriots,Massachusetts
90,"Shelby, Derrick",DE,def,RES,74,280,4-Mar-89,5,Utah,Falcons,Georgia
55,"Shelton, Danny",NT,def,ACT,74,335,20-Aug-93,2,Washington,Browns,Ohio
38,"Shepherd, JaCorey",CB,dback,ACT,71,199,29-Mar-93,2,Kansas,49ers,California
91,"Sheppard, Kelvin",MLB,lineb,ACT,74,249,2-Jan-88,6,LSU,Giants,New York
35,"Sherels, Marcus",CB,dback,ACT,70,175,30-Sep-87,6,Minnesota,Vikings,Minnesota
42,"Sherman, Anthony",FB,run,ACT,70,242,11-Dec-88,6,Connecticut,Chiefs,Missouri
25,"Sherman, Richard",CB,dback,ACT,75,195,30-Mar-88,6,Stanford,Seahawks,Washington
37,"Shields, Sam",CB,dback,RES,71,184,8-Dec-87,7,Miami (Fla.),Packers,Wisconsin
53,"Shipley, A.Q.",C,off,ACT,73,307,22-May-86,5,Penn State,Cardinals,Arizona
53,"Shipley, A.Q.",C,off,ACT,73,#N/A,22-May-86,5,Penn State,Eagles,Pennsylvania
46,"Shirley, Josh",LB,lineb,ACT,73,235,4-Jan-92,2,Nevada-Las Vegas,Bears,Illinois
99,"Short, Kawann",DT,def,ACT,75,315,2-Feb-89,4,Purdue,Panthers,North Carolina
70,"Siliga, Sealver",DT,def,ACT,74,325,26-Apr-90,5,Utah,Buccaneers,Florida
31,"Simmons, Justin",SS,dback,ACT,74,202,19-Nov-93,0,Boston College,Broncos,Colorado
93,"Simon, Deon",DT,def,ACT,75,332,6-Jul-90,1,Northwestern State-Louisiana,Jets,New York
51,"Simon, John",OLB,lineb,ACT,73,260,14-Oct-90,4,Ohio State,Texans,Texas
34,"Sims, Charles",RB,run,RES,72,211,19-Sep-90,3,West Virginia,Buccaneers,Florida
97,"Sims, Eugene",DE,def,ACT,78,269,18-Mar-86,7,West Texas A&M,Rams,California
