No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Crawford, Tyrone",DE,def,ACT,76,285,22-Nov-89,5,Boise State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Crawley, Ken",CB,dback,RES,73,180,08-Feb-93,0,Colorado,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Crichton, Scott",DE,def,RES,75,273,30-Oct-91,3,Oregon State,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Crick, Jared",DE,def,ACT,76,285,21-Aug-89,5,Nebraska,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Crockett, John",RB,run,RES,72,217,16-Feb-92,1,North Dakota State,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Cromartie, Marcus",CB,dback,ACT,72,195,03-Dec-90,3,Wisconsin,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Crosby, Mason",K,kick,ACT,73,207,03-Sep-84,10,Colorado,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Cross, Alan",RB,run,ACT,73,245,02-May-93,0,Memphis,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Crowder, Jamison",WR,wide,ACT,68,182,17-Jun-93,2,Duke,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Crowell, Isaiah",RB,run,ACT,71,225,08-Jan-93,3,Alabama State,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Cruz, Victor",WR,wide,ACT,72,204,11-Nov-86,7,Massachusetts,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Cumberland, Jeff",TE,tight,RES,76,260,02-May-87,7,Illinois,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Cunningham, Benny",RB,run,RES,70,217,07-Jul-90,4,Middle Tennessee State,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Cushing, Brian",ILB,lineb,ACT,75,255,24-Jan-87,8,USC,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Cutler, Jay",QB,other,RES,75,231,29-Apr-83,11,Vanderbilt,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Cyprien, Johnathan",SS,dback,ACT,72,217,29-Jul-90,4,Florida International,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Dahl, Joe",OG,other,ACT,76,305,09-Apr-93,0,Washington State,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Dalton, Andy",QB,other,ACT,74,220,29-Oct-87,6,Texas Christian,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Dangerfield, Jordan",SS,dback,ACT,70,199,25-Dec-90,1,Towson,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Daniels, Mike",DE,def,ACT,72,310,05-May-89,5,Iowa,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Daniels, Steven",ILB,lineb,RES,71,245,12-Dec-92,0,Boston College,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Dansby, Karlos",OLB,lineb,ACT,75,251,03-Nov-81,13,Auburn,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Darby, Ronald",CB,dback,ACT,71,193,02-Jan-94,2,Florida State,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Dareus, Marcell",NT,def,ACT,75,331,13-Mar-90,6,Alabama,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Darkwa, Orleans",RB,run,RES,72,215,28-Feb-92,3,Tulane,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Darr, Matt",P,other,ACT,73,214,02-Jul-92,2,Tennessee,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"David, Lavonte",OLB,lineb,ACT,73,233,23-Jan-90,5,Nebraska,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Davis, Akeem",DB,dback,ACT,73,200,25-Dec-89,3,Memphis,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Davis, Anthony",OT,other,EXE,77,323,11-Oct-89,6,Rutgers,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Davis, Carl",DE,def,RES,77,327,02-Mar-92,2,Iowa,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Davis, Chris",CB,dback,RES,70,201,04-Nov-90,3,Auburn,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Davis, Cody",FS,dback,ACT,73,206,06-Jun-89,4,Texas Tech,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Davis, Demario",ILB,lineb,ACT,74,248,11-Jan-89,5,Arkansas State,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Davis, Geremy",WR,wide,ACT,74,217,10-Jan-92,2,Connecticut,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Davis, Kellen",TE,tight,RES,79,265,11-Oct-85,9,Michigan State,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Davis, Knile",RB,run,ACT,70,227,05-Oct-91,4,Arkansas,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Davis, Mike",RB,run,ACT,69,217,19-Feb-93,2,South Carolina,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Davis, Ryan",LB,lineb,RES,74,275,24-Feb-89,4,Bethune-Cookman,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Davis, Sean",SS,dback,ACT,73,202,23-Oct-93,0,Maryland,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Davis, Thomas",OLB,lineb,ACT,73,235,22-Mar-83,12,Georgia,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Davis, Todd",ILB,lineb,ACT,73,230,17-May-92,3,Sacramento State,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Davis, Trevor",WR,wide,ACT,73,188,04-Jul-93,0,California,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Davis, Vernon",TE,tight,ACT,75,248,31-Jan-84,11,Maryland,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Davis, Vontae",CB,dback,ACT,71,207,27-May-88,8,Illinois,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Davison, Tyeler",DT,def,ACT,74,309,23-Sep-92,2,Fresno State,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Dawson, P.J.",LB,lineb,ACT,72,240,13-Jan-93,2,Texas Christian,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Dawson, Phil",K,kick,ACT,71,200,23-Jan-75,18,Texas,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Day, Sheldon",DT,def,ACT,73,285,01-Jul-94,0,Notre Dame,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"DeCastro, David",G,off,ACT,77,316,11-Jan-90,5,Stanford,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Decker, Eric",WR,wide,RES,75,214,15-Mar-87,7,Minnesota,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Decker, Taylor",OT,other,ACT,79,311,23-Aug-93,0,Ohio State,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Delaire, Ryan",DE,def,RES,76,265,17-Jan-92,2,Towson,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Demps, Quintin",SS,dback,ACT,71,210,29-Jun-85,9,Texas-El Paso,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Dennard, Darqueze",CB,dback,ACT,71,198,10-Oct-91,3,Michigan State,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Denney, John",LS,other,ACT,77,242,13-Dec-78,12,Brigham Young,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Dent, Akeem",OLB,lineb,ACT,73,250,27-Sep-87,6,Georgia,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"DeOssie, Zak",LS,other,ACT,76,249,24-May-84,10,Brown,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"DePaola, Andrew",LS,other,ACT,74,230,28-Jul-87,3,Rutgers,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Derby, A.J.",TE,tight,ACT,77,255,20-Sep-91,2,Arkansas,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"DeValve, Seth",TE,tight,ACT,75,245,29-Jan-93,0,Princeton,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Develin, James",FB,run,ACT,75,255,23-Jul-88,4,Brown,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Dial, Quinton",DE,def,ACT,77,318,21-Jul-90,4,Alabama,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Dickson, Ed",TE,tight,ACT,76,255,25-Jul-87,7,Oregon,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Diggs, Quandre",CB,dback,RES,69,200,22-Jan-93,2,Texas,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Diggs, Reggie",WR,wide,RES,76,215,08-May-93,0,Richmond,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Diggs, Stefon",WR,wide,ACT,72,191,29-Nov-93,2,Maryland,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Dillon, K.J.",SAF,other,RES,72,200,11-May-93,0,West Virginia,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"DiMarco, Patrick",FB,run,ACT,73,234,30-Apr-89,5,South Carolina,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Dixon, Brian",DB,dback,ACT,72,195,26-Apr-90,3,Northwest Missouri State,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Dixon, Brian",DB,dback,ACT,72,195,26-Apr-90,3,Northwest Missouri State,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Dixon, Kenneth",RB,run,ACT,70,212,21-Jan-94,0,Louisiana Tech,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Dixon, Riley",P,other,ACT,76,221,24-Aug-93,0,Syracuse,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Dixon, Travell",DB,dback,ACT,73,210,17-Feb-91,1,Washington,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Doctson, Josh",WR,wide,RES,74,206,03-Dec-92,0,Texas Christian,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Dodd, Kevin",OLB,lineb,RES,77,277,14-Jul-92,0,Clemson,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Donald, Aaron",DT,def,ACT,73,285,23-May-91,3,Pittsburgh,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Donnal, Andrew",OT,other,ACT,78,316,03-Mar-92,2,Iowa,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Donnell, Larry",TE,tight,ACT,78,265,01-Nov-88,4,Grambling State,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Dora, Vontarrius",LB,lineb,ACT,75,256,07-Sep-92,0,Louisiana Tech,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Dorleant, Makinton",DB,dback,RES,71,182,06-Oct-92,0,Northern Iowa,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Dorsett, Phillip",WR,wide,ACT,70,185,05-Jan-93,2,Miami (Fla.),Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Dorsey, Glenn",NT,def,ACT,73,297,01-Aug-85,9,LSU,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Doss, Lorenzo",CB,dback,ACT,71,187,20-Apr-94,2,Tulane,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Dotson, Demar",T,off,ACT,81,315,11-Oct-85,8,Southern Mississippi,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Douglas, Harry",WR,wide,ACT,72,183,16-Sep-84,9,Louisville,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Douzable, Leger",DE,def,ACT,76,284,31-May-86,7,Central Florida,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Dowling, Jonathan",DB,dback,RES,75,190,08-Dec-91,2,Western Kentucky,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Doyle, Jack",TE,tight,ACT,78,267,05-May-90,4,Western Kentucky,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Dozier, Dakota",OG,other,ACT,76,313,30-Apr-91,3,Furman,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Drake, Kenyan",RB,run,ACT,73,216,26-Jan-94,0,Alabama,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Drango, Spencer",OG,other,ACT,78,315,15-Oct-92,0,Baylor,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Draughn, Shaun",RB,run,ACT,71,205,07-Dec-87,5,North Carolina,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Dray, Jim",TE,tight,ACT,77,255,31-Dec-86,7,Stanford,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Drescher, Justin",LS,other,ACT,73,235,01-Jan-88,7,Colorado,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Driskel, Jeff",QB,other,ACT,76,231,23-Apr-93,0,Louisiana Tech,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Drummond, Kurtis",FS,dback,RES,73,208,29-Jan-92,2,Michigan State,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Duarte, Thomas",TE,tight,ACT,74,241,30-Mar-95,0,UCLA,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Ducasse, Vladimir",OG,other,ACT,77,325,15-Oct-87,7,Massachusetts,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Dumervil, Elvis",OLB,lineb,ACT,71,250,19-Jan-84,11,Louisville,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Dunbar, Lance",RB,run,ACT,68,195,25-Jan-90,5,North Texas,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Dunbar, Quinton",CB,dback,ACT,74,203,22-Jul-92,2,Florida,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Dunlap, Carlos",DE,def,ACT,78,280,28-Feb-89,7,Florida,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Dunlap, King",T,off,ACT,81,330,14-Sep-85,9,Auburn,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Dupree, Bud",OLB,lineb,ACT,76,269,12-Feb-93,2,Kentucky,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Durant, Justin",LB,lineb,ACT,73,230,21-Sep-85,10,Hampton,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Duvernay-Tardif, Laurent",OG,other,ACT,77,321,11-Feb-91,3,McGill (Canada),Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Dye, Donteea",WR,wide,RES,72,195,20-Aug-93,2,Heidelberg,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Dysert, Zac",QB,other,ACT,75,221,08-Feb-90,2,Miami (Ohio),Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Dysert, Zac",QB,other,ACT,75,221,08-Feb-90,2,Miami (Ohio),Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Dzubnar, Nick",LB,lineb,RES,73,240,15-Aug-91,2,Cal Poly-S.L.O.,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Ealy, Kony",DE,def,ACT,76,275,21-Dec-91,3,Missouri,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Easley, Dominique",DT,def,ACT,74,285,24-Feb-92,3,Florida,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Easley, Marcus",WR,wide,PUP,74,217,02-Nov-87,5,Connecticut,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Easton, Nick",C,off,ACT,74,303,16-Jun-92,2,Harvard,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Ebner, Nate",DB,dback,ACT,72,220,14-Dec-88,5,Ohio State,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Ebron, Eric",TE,tight,ACT,76,253,10-Apr-93,3,North Carolina,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Edebali, Kasim",DE,def,ACT,74,253,17-Aug-89,3,Boston College,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Edelman, Julian",WR,wide,ACT,70,200,22-May-86,8,Kent State,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Edwards, Ben",WR,wide,RES,72,200,10-Apr-92,1,Richmond,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Edwards, Lac",P,other,ACT,76,209,27-Apr-92,0,Sam Houston State,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Edwards, Mario",DE,def,ACT,75,280,25-Jan-94,2,Florida State,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Edwards, SaQwan",DB,dback,RES,72,200,13-May-92,1,New Mexico,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Ehinger, Parker",OG,other,RES,78,310,30-Dec-92,0,Cincinnati,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Eifert, Tyler",TE,tight,RES,78,250,08-Sep-90,4,Notre Dame,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Ekpre-Olomu, Ifo",CB,dback,RES,69,200,10-Jul-93,1,Oregon,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Elam, Matt",SS,dback,ACT,70,208,21-Sep-91,4,Florida,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Ellerbe, Dannell",OLB,lineb,ACT,73,245,29-Nov-85,8,Georgia,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Ellington, Andre",RB,run,ACT,69,199,03-Feb-89,4,Clemson,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Ellington, Andre",RB,run,ACT,69,199,03-Feb-89,4,Clemson,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Ellington, Bruce",WR,wide,RES,69,197,22-Aug-91,3,South Carolina,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Elliott, DeAndre",CB,dback,ACT,73,189,21-Nov-92,0,Colorado State,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Elliott, Ezekiel",RB,run,ACT,72,225,22-Jul-95,0,Ohio State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Elliott, Javien",DB,dback,ACT,71,176,18-Jul-93,0,Florida State,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Elliott, Jay",LB,lineb,ACT,75,255,11-Nov-91,3,Toledo,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Ellis, Alex",TE,tight,ACT,76,240,10-Feb-93,0,Tennessee,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Ellis, Justin",DT,def,ACT,74,335,27-Dec-90,3,Louisiana Tech,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Ellison, Rhett",TE,tight,ACT,77,250,03-Oct-88,5,USC,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Emanuel, Kyle",OLB,lineb,ACT,75,250,16-Aug-91,2,North Dakota State,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Enemkpali, IK",DE,def,RES,73,261,03-Jul-91,3,Louisiana Tech,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Enunwa, Quincy",WR,wide,ACT,74,225,31-May-92,2,Nebraska,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Erickson, Alex",WR,wide,ACT,72,195,06-Nov-92,0,Wisconsin,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Ervin, Tyler",RB,run,ACT,70,185,07-Oct-93,0,San Jose State,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Erving, Cameron",C,off,ACT,77,313,23-Aug-92,2,Florida State,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Escobar, Gavin",TE,tight,ACT,78,260,03-Feb-91,4,San Diego State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Eulls, Kaleb",DT,def,ACT,76,309,28-Jun-91,2,Mississippi State,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Evans, Jahri",OG,other,ACT,76,318,22-Aug-83,11,Bloomsburg,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Evans, Josh",DB,dback,ACT,72,198,05-Jun-91,4,Florida,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Evans, Marwin",DB,dback,ACT,71,211,10-Apr-93,0,Utah State,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Evans, Mike",WR,wide,ACT,77,231,21-Aug-93,3,Texas A&M,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Everett, Deshazor",CB,dback,ACT,72,198,22-Feb-92,2,Texas A&M,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Exum, Antone",CB,dback,RES,72,219,27-Feb-91,3,Virginia Tech,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Fabiano, Anthony",C,off,ACT,77,307,13-Jul-93,0,Harvard,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Fackrell, Kyler",OLB,lineb,ACT,77,245,25-Nov-91,0,Utah State,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Fairbairn, Ka'imi",K,kick,RES,72,185,29-Jan-94,0,UCLA,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Fairley, Nick",DT,def,ACT,76,308,23-Jan-88,6,Auburn,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Fales, David",QB,other,ACT,73,212,04-Oct-90,2,San Jose State,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Fant, George",OT,other,ACT,77,296,19-Jul-92,0,Western Kentucky,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Farley, Matthias",DB,dback,ACT,71,210,15-Jul-92,0,Notre Dame,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Farrow, Kenneth",RB,run,RES,69,219,07-Mar-93,0,Houston,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Fasano, Anthony",TE,tight,ACT,76,255,20-Apr-84,11,Notre Dame,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Fede, Terrence",DE,def,ACT,76,267,19-Nov-91,3,Marist,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
